Id,Venue,LocationOrder,competition,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,Source,Sub-Locations
A01,OLS,1,Y,Olympic Stadium - Road Events,Stade Olympique - Route,Estádio Olímpico-Eventos rua,Estadio Olímpico-Eventos ruta,Olympic Stadium - Road Events,Stade Olympique - Évènement sur route,Estádio Olímpico - Eventos de rua,Estadio Olímpico - Eventos de ruta,OLSAT1,
A02,OLS,2,Y,Olympic Stadium - Track Events,Stade Olympique - Piste,Estádio Olímpico-Eventos pista,Estadio Olímpico-Eventos pista,Olympic Stadium - Track Events,Stade Olympique - Évènement sur piste,Estádio Olímpico - Eventos de pista,Estadio Olímpico - Eventos de pista,OLSAT1,
A03,OLS,3,Y,Olympic Stadium - High Jump 1,Stade Olympique-Saut hauteur 1,Estádio Olímpico-Altura 1,Estadio Olímpico - Salto alt 1,Olympic Stadium - High Jump 1,Stade Olympique - Saut en hauteur 1,Estádio Olímpico - Salto em altura 1,Estadio Olímpico - Salto de altura 1,OLSAT1,
A04,OLS,4,Y,Olympic Stadium - High Jump 2,Stade Olympique-Saut hauteur 2,Estádio Olímpico-Altura 2,Estadio Olímpico - Salto alt 2,Olympic Stadium - High Jump 2,Stade Olympique - Saut en hauteur 2,Estádio Olímpico - Salto em altura 2,Estadio Olímpico - Salto de altura 2,OLSAT1,
A05,OLS,5,Y,Olympic Stadium - Horiz Jump 1,Stade Olympique-Longueur 1,Estádio Olímpico-Horizontais 1,Estadio Olímpico-Saltos hor. 1,Olympic Stadium - Horizontal Jumps 1,Stade Olympique - Saut en longueur 1,Estádio Olímpico - Saltos horizontais 1,Estadio Olímpico - Saltos horizontales 1,OLSAT1,
A06,OLS,6,Y,Olympic Stadium - Horiz Jump 2,Stade Olympique-Longueur 2,Estádio Olímpico-Horizontais 2,Estadio Olímpico-Saltos hor. 2,Olympic Stadium - Horizontal Jumps 2,Stade Olympique - Saut en longueur 2,Estádio Olímpico - Saltos horizontais 2,Estadio Olímpico - Saltos horizontales 2,OLSAT1,
A07,OLS,7,Y,Olympic Stadium - Pole Vault 1,Stade Olympique - Perche 1,Estádio Olímpico-Salto vara 1,Estadio Olímpico-Salto gar. 1,Olympic Stadium - Pole Vault 1,Stade Olympique - Perche 1,Estádio Olímpico - Salto com vara 1,Estadio Olímpico - Salto con garrocha 1,OLSAT1,
A08,OLS,8,Y,Olympic Stadium - Pole Vault 2,Stade Olympique - Perche 2,Estádio Olímpico-Salto vara 2,Estadio Olímpico-Salto gar. 2,Olympic Stadium - Pole Vault 2,Stade Olympique - Perche 2,Estádio Olímpico - Salto com vara 2,Estadio Olímpico - Salto con garrocha 2,OLSAT1,
A09,OLS,9,Y,Olympic Stadium - Shot Put 1,Stade Olympique-Lancer poids 1,Estádio Olímpico - Peso 1,Estadio Olímpico - Lanz bala 1,Olympic Stadium - Shot Put 1,Stade Olympique - Lancer de poids 1,Estádio Olímpico - Arremesso do peso 1,Estadio Olímpico - Lanzamiento de bala 1,OLSAT1,
A10,OLS,10,Y,Olympic Stadium - Shot Put 2,Stade Olympique-Lancer poids 2,Estádio Olímpico - Peso 2,Estadio Olímpico - Lanz bala 2,Olympic Stadium - Shot Put 2,Stade Olympique - Lancer de poids 2,Estádio Olímpico - Arremesso do peso 2,Estadio Olímpico - Lanzamiento de bala 2,OLSAT1,
